leagueId,season,periodNumber,periodType,dateRange,awayTeamName,awayTeamId,homeTeamName,homeTeamId,matchupId
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,1,Regular Season,"Thu Mar 30, 2023 - Sun Apr 2, 2023",BK Fire,4css2l9ald3k0ir8,I’m not Witty Enough,8ddddnpqld3k0ir8,14css2l9ald3k0ir88ddddnpqld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,1,Regular Season,"Thu Mar 30, 2023 - Sun Apr 2, 2023",Kong Army,5o7rockbld3k0ir8,Moon Missiles,bw9bxhlnld3k0ir8,15o7rockbld3k0ir8bw9bxhlnld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,1,Regular Season,"Thu Mar 30, 2023 - Sun Apr 2, 2023",We Lose These,7idwuj7dld3k0ir8,My Dog,2vskq5oold3k0ir8,17idwuj7dld3k0ir82vskq5oold3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,1,Regular Season,"Thu Mar 30, 2023 - Sun Apr 2, 2023",MyMookie,ab6nd1ytld3k0ir8,Boaf Squad,wgso077kld3k0ir8,1ab6nd1ytld3k0ir8wgso077kld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,1,Regular Season,"Thu Mar 30, 2023 - Sun Apr 2, 2023",Ray's Team,moz9ffoeld3k0ir8,So Due,5d67ckgdld3k0ir8,1moz9ffoeld3k0ir85d67ckgdld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,2,Regular Season,"Mon Apr 3, 2023 - Sun Apr 9, 2023",My Dog,2vskq5oold3k0ir8,Boaf Squad,wgso077kld3k0ir8,22vskq5oold3k0ir8wgso077kld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,2,Regular Season,"Mon Apr 3, 2023 - Sun Apr 9, 2023",BK Fire,4css2l9ald3k0ir8,Moon Missiles,bw9bxhlnld3k0ir8,24css2l9ald3k0ir8bw9bxhlnld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,2,Regular Season,"Mon Apr 3, 2023 - Sun Apr 9, 2023",So Due,5d67ckgdld3k0ir8,I’m not Witty Enough,8ddddnpqld3k0ir8,25d67ckgdld3k0ir88ddddnpqld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,2,Regular Season,"Mon Apr 3, 2023 - Sun Apr 9, 2023",Kong Army,5o7rockbld3k0ir8,We Lose These,7idwuj7dld3k0ir8,25o7rockbld3k0ir87idwuj7dld3k0ir8
fa79oxi9ld3k0iqz,2023 MLB  Joe Buck Sucks,2,Regular Season,"Mon Apr 3, 2023 - Sun Apr 9, 2023",MyMookie,ab6nd1ytld3k0ir8,Ray's Team,moz9ffoeld3k0ir8,2ab6nd1ytld3k0ir8moz9ffoeld3k0ir8
